,target,importance
3,Cd82,30.98627131405585
11,Tox,25.754493315118022
10,Chad,20.313881512509813
14,Ltb,18.55908932493929
9,Unc119,16.654630295757677
1,S100a4,16.33933560660286
0,Lmo4,15.397134524481867
8,Zap70,14.446255708950432
4,Ppt2,12.980209356981472
5,Anxa6,12.653389443445896
7,Cldnd1,11.433269822989883
6,Sla,11.331077763622652
12,Tpm2,10.42797596053166
13,Vasp,9.645696262882351
17,Cd160,8.424694972597475
15,Il17re,7.325174159511872
19,Mif4gd,4.758108965634077
16,Il17f,2.946725618556415
2,Rorc,1.0
18,Tjp3,0.9077859684726372
20,Gnb5,0.759108126701642
