,target,importance
121,Il18r1,30.918230992838996
72,Smco4,15.399200527878705
40,Zfand6,14.635616158455395
41,Bcl11b,12.21512031428983
37,S100a4,12.110177336686409
38,Lmo4,10.03236991345168
6,Ccr2,8.958332493169546
39,Adgrg5,8.954202986161253
135,Rxrg,8.949470364453978
143,Fli1,7.961083373262843
123,Ppt2,7.695347083910587
117,Pxdc1,7.539235223332924
144,Lingo4,7.502422617597499
50,Smox,7.26762504444825
142,Selenot,5.75773838889312
141,Lpxn,5.660283994149342
0,Rora,5.387434331285859
17,S100a10,5.360593164916305
134,Ahcyl2,5.26216921997957
34,Sirt7,4.623763697093415
18,Tbc1d10c,4.620369907495279
31,Camk4,4.442368642718844
26,Fah,4.405194330626828
13,St6galnac4,4.042493313065307
35,Snx4,3.8918451849329
14,Cast,3.495091094457527
124,Gtpbp2,3.424747556568786
126,Il17re,3.41398011853336
30,Basp1,3.385639131735996
130,Nebl,3.22307360155461
7,Syne1,3.188375000602932
77,Txk,3.126292435749126
53,Plekho2,3.036834726979893
125,Cnn2,2.9444737261288125
22,Trp53inp1,2.9374737066918315
1,Pofut1,2.9281901516177418
128,Espn,2.702646285776281
28,Mprip,2.678689569424614
52,Enpp4,2.6065224388255883
138,Kmt5b,2.589454493355827
48,Nfia,2.4959315316168817
129,Lat,2.4907086257592166
10,Chd2,2.357024314560804
65,Cited2,2.305774276154912
132,Ptp4a2,2.2492610876139087
8,Ppp1r14b,2.222714221896046
5,1700012B07Rik,2.213541312796158
100,Tdrkh,2.118325905898596
20,Aagab,2.0999534474297072
19,Capn1,2.0986105890201703
25,S100a13,2.0969507653673607
33,Lxn,2.0823790242288767
61,Rnf2,2.034597845110726
60,Gpr183,1.9510515746119088
23,Uhrf2,1.8088663206957143
64,Clcn3,1.7881191638309393
11,Utp18,1.7785719267299518
3,Fam124b,1.764016895663912
102,Ets1,1.707627236398234
24,Il12rb1,1.653332647417312
46,Diaph1,1.612512077869393
2,Nr1d1,1.4873916133890426
27,Cotl1,1.457928542753677
55,Arntl,1.3855036415735251
133,Rhog,1.3834112770435998
98,Sh3kbp1,1.373101223490784
99,Ahr,1.3637328322287252
139,Gm5122,1.3337520843049238
51,Mgmt,1.2295832974509893
29,Tmem140,1.2094240082677656
84,Cdc42ep3,1.177496299953876
43,Kif21b,1.1566411744998195
56,Adam12,1.1432877555048568
47,Iqsec1,1.1291006897152385
21,Emb,1.1290367557408765
16,Glb1,1.0962679315616783
49,Sertad2,1.0805397347797263
44,Rims3,1.0650112159965082
101,Jun,1.0360257413246747
36,Rorc,1.0
127,Dnajb2,0.9896701526538444
58,Msi2,0.9637405563786684
12,Prickle1,0.925492730910074
131,Tmem51,0.9250514897173496
136,9130401M01Rik,0.9155227611083784
140,Lonp2,0.9095960765113246
15,Ccr6,0.9085999378717208
80,Sh3bp5,0.8975896495308701
4,Tecpr1,0.8938334642532795
32,Rhoc,0.8925090120157363
9,Coro1c,0.8415580159269649
137,Rab11fip1,0.8333692943368006
81,Akirin2,0.7941354589517543
42,Cap2,0.7518122887405049
73,Zbtb20,0.7497570559816599
116,Slc11a2,0.7327396229171551
76,Mmd,0.6604899071047476
112,Kpnb1,0.6298642708010428
62,Pea15a,0.5792929879584138
45,Pkn1,0.5774108002970881
111,Ankrd35,0.5692740707793783
66,Ndst1,0.567194343791989
118,Cxcr6,0.5318748648218474
69,Cmtm6,0.4995561423301303
59,Thra,0.4140075062771627
79,Sesn3,0.3957291592993856
114,Art4,0.3752057232360165
82,Itk,0.3460362173362782
89,Vamp5,0.3231734475775129
113,Arhgef28,0.2877557624081901
122,Eya2,0.2694421701204396
54,Gm15417,0.2573392809956352
86,Epc1,0.2463847684257322
103,Cym,0.241089153254801
108,Rarg,0.2405071381195915
110,Shtn1,0.2395980336504103
74,Trps1,0.2199427947388579
119,Rpl37a,0.2149788263010778
85,Mgea5,0.2117511997482772
107,Pik3r1,0.2083117814168887
92,Jak2,0.200253158544095
71,Tspan14,0.1987083461284088
91,Lgals8,0.1942933179383019
88,Phf21a,0.1926032036423581
83,Pde4b,0.192469969657754
106,Il1rl1,0.1922606583923383
105,Tgfbr3,0.190264192350364
75,Eif1b,0.1870978825113096
95,Csrnp1,0.1727339846130305
97,Sorbs2,0.1714479150501825
68,Rara,0.166094922567329
78,Zfp827,0.1514271543850054
57,Npas2,0.1197585581448402
67,Map3k14,0.1121570768829758
96,Pde2a,0.1106624506994908
109,Sp6,0.0900873079479337
104,Ppfibp1,0.0891775192568437
115,Upp2,0.0854226349941324
93,Hormad2,0.067831317017486
63,S100a3,0.0558711915172876
90,Epb41l2,0.0242174498147958
94,Cd36,0.0230236585017368
87,1700061F12Rik,0.010574699361165
120,Orc4,8.839045030775491e-05
70,Il23r,1.1764181219727082e-08
