,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Mrpl15,0.059158523,0.11892535,0.2590297,0.24647012,0.26940084,0.35371244,0.36664596,0.25877225,0.3329804,0.29068297,0.4906457,0.46967673,0.3954686,0.37652442,0.2885853,0.36645544,0.27016675,0.2955084,0.37924153,0.265718,0.09502952,0.036828138,0.11488237,0.23849842,0.2355012,0.10005657,0.17029572,0.091123365,0.0,0.16696133,0.21342343,0.23267171,0.14411095,0.37485817,0.17503344,0.13934968,0.0,0.07421824,0.0
Vcpip1,0.27972576,0.0983308,0.1438708,0.19249085,0.12796074,0.114166215,0.17367233,0.12408674,0.12408674,0.12408674,0.11689828,0.11689828,0.11689828,0.14975798,0.09744031,0.071616866,0.11373955,0.08087987,0.08087987,0.11257328,0.11348139,0.17533985,0.15423054,0.29060403,0.29663625,0.14455347,0.19658133,0.23708713,0.16844709,0.21620142,0.0,0.17911196,0.18370743,0.07419129,0.2367365,0.08474984,0.19692671,0.37341803,0.08365081
Snhg6,0.39393112,0.4828862,0.6059182,0.5385829,0.68932545,0.7121068,0.65783936,0.49406594,0.39783752,0.25982815,0.38364607,0.31917715,0.31917715,0.28995752,0.3103405,0.54240954,0.70706683,0.8018178,0.80408466,0.7232214,0.7152963,0.5520339,0.59296185,0.7422411,0.9699173,0.5771936,0.34781468,0.34781176,0.6807977,0.6277257,0.685096,0.8231538,0.6186367,0.45850164,0.46972466,0.60379666,0.2732569,0.9449284,0.8468121
Cops5,0.5397661,0.75391,0.58000463,0.6074935,0.6513739,0.65536344,0.7906605,0.74559844,0.79994375,0.8366409,0.6806835,0.6383981,0.540925,0.5282604,0.6242121,0.77498263,0.6365713,0.67377126,0.62697625,0.79099625,0.8111203,0.90506464,0.7139102,0.50874513,0.41445318,0.30752808,0.44659954,0.42350245,0.52380484,0.43929493,0.5229841,0.24748802,0.58897793,0.48966777,0.42935392,0.43907502,0.42248234,0.39993423,0.5634295
Arfgef1,0.04805174,0.11154802,0.14488277,0.08650463,0.04862004,0.096846625,0.089825235,0.110982746,0.110982746,0.110982746,0.110982746,0.110982746,0.110982746,0.081763126,0.081763126,0.10382862,0.1459513,0.1459513,0.1459513,0.14470038,0.07949042,0.1413489,0.10384263,0.061858464,0.053796828,0.059896827,0.1961221,0.0727522,0.108591154,0.0,0.15419129,0.09005516,0.23582384,0.23458295,0.15198666,0.09633378,0.121176586,0.21399885,0.15538803
Ncoa2,0.073037945,0.050132643,0.12708935,0.12708935,0.0,0.06060561,0.12011173,0.09263041,0.13646565,0.13646565,0.076959535,0.076959535,0.03312429,0.03312429,0.03312429,0.0,0.12253461,0.12253461,0.12253461,0.20134607,0.20134607,0.07881145,0.04934127,0.04934127,0.06751122,0.14327276,0.0,0.0,0.16668807,0.05643298,0.0,0.0,0.14577968,0.1785258,0.0,0.0,0.058607657,0.0,0.08557848
Tram1,1.2932314,1.2874494,1.1559132,1.1960458,1.2579228,1.0631104,1.1661719,1.0350556,1.0622472,1.0007426,1.0427623,1.055099,1.0179672,0.9763106,0.91331625,0.73855335,0.7267825,0.66923153,0.55255497,0.5929422,0.79080033,0.7686442,0.675345,0.6050105,0.71025264,0.60878736,0.18502887,0.47894526,0.42691818,0.5493537,0.70109755,0.58542854,0.2508169,0.18972956,0.36904162,0.47793874,0.5716593,0.57675076,0.55898196
Lactb2,0.25493407,0.21842372,0.12418538,0.04850472,0.10494009,0.22790629,0.18115544,0.17469269,0.1315649,0.13121909,0.09269176,0.055349555,0.055349555,0.055349555,0.055349555,0.040912356,0.040912356,0.040912356,0.07774049,0.036828138,0.036828138,0.15270975,0.11588162,0.11588162,0.047843467,0.30026242,0.13511303,0.13628007,0.14664209,0.0,0.15824158,0.0691805,0.071277104,0.061683442,0.0,0.0,0.060139902,0.0,0.0
Eya1,0.0,0.0,0.0,0.0,0.0793407,0.0793407,0.0793407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0602622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sbspon,0.0,0.047710158,0.0,0.0943578,0.13340351,0.039045714,0.039045714,0.07050204,0.07050204,0.031456333,0.031456333,0.031456333,0.031456333,0.031456333,0.031456333,0.030535748,0.030535748,0.030535748,0.030535748,0.030535748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rpl7,3.1705306,3.2576432,3.3208792,3.3279104,3.3896139,3.3917239,3.3929052,3.3743792,3.393071,3.3629653,3.3441882,3.341406,3.319501,3.3134038,3.3237906,3.3372393,3.409182,3.423569,3.398999,3.394073,3.4048712,3.3061645,3.3643682,3.3641958,3.3615472,3.3816662,3.3925405,3.331193,3.2740698,3.2897267,3.2031252,3.3285618,3.3697686,3.2810006,3.2106473,3.3168626,3.2006884,3.4359875,3.4060116
Ube2w,0.073037945,0.09155682,0.0,0.0,0.03250804,0.09311365,0.09311365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09077118,0.0,0.070511125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.089751974,0.0
Eloc,0.8909708,0.8961644,1.071727,0.995839,1.0502899,0.9406713,1.1005296,0.90487397,0.9359543,0.9826549,0.8262473,0.79186153,0.8118202,0.8216204,0.73316,0.967941,1.1600161,1.1375537,1.2390239,1.259125,1.3522516,1.2877319,1.0966146,1.0344456,0.8429251,0.8151284,0.7192168,0.9288787,0.99650407,0.6009925,0.6101029,0.50299996,0.58238226,0.571198,0.5769497,0.7934741,0.56420594,0.61158705,0.639915
Mcm3,1.9917659,1.9205966,1.8103838,1.6342536,1.4579141,1.5578156,1.6122591,1.6045408,1.6769748,1.592636,1.7359567,1.7375348,1.742792,1.7525922,1.7274982,1.6830679,1.6638999,1.7259183,1.6120996,1.644715,1.4431055,1.3086636,1.1213751,1.0879071,0.8550413,0.56255907,0.3699096,0.2963061,0.18786767,0.30313343,0.24922016,0.09005516,0.16132125,0.5269651,0.40133774,0.30237168,0.6163415,0.36479002,0.15800416
Tram2,0.12125265,0.07121519,0.0,0.0,0.0,0.0,0.0,0.031456333,0.031456333,0.031456333,0.031456333,0.031456333,0.031456333,0.031456333,0.031456333,0.0,0.0,0.0,0.0,0.03750626,0.03750626,0.03750626,0.0,0.14006817,0.13057293,0.047843467,0.0,0.07569121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ogfrl1,0.5100531,0.7638391,0.9041547,0.8780534,0.7233806,0.5717567,0.5330747,0.59230524,0.6655114,0.7289953,0.7029311,0.7152679,0.69310075,0.7351441,0.72251,0.5690366,0.52502304,0.5259268,0.48013395,0.3029238,0.2841238,0.24339601,0.42503846,0.37327906,0.20170291,0.06751122,0.26206136,0.2595821,0.06217424,0.6294602,0.34205323,0.0,0.15966508,0.5395673,0.45582306,0.07239189,0.3873431,0.073109746,0.0
Smap1,0.40938357,0.2388589,0.36494297,0.32938597,0.36810017,0.3472503,0.37384063,0.21473517,0.21544264,0.13752379,0.13752379,0.11655481,0.13050036,0.101280734,0.17097771,0.20900936,0.23717918,0.23717919,0.316668,0.40493265,0.45014346,0.45014346,0.32757545,0.18881185,0.30712268,0.2598412,0.44823477,0.2709466,0.2536751,0.12879288,0.13649602,0.0,0.29645056,0.5964621,0.3492693,0.25916472,0.21029529,0.09255107,0.52583575
Sdhaf4,0.60760784,0.43158504,0.47874284,0.5153007,0.42169264,0.3863622,0.36183113,0.35009181,0.35079932,0.43285722,0.37780663,0.42130655,0.4352521,0.40704438,0.4795101,0.5712015,0.5993713,0.60002184,0.43956187,0.48547268,0.3755495,0.31734815,0.30003303,0.4302234,0.46733052,0.3237418,0.45910826,0.3680672,0.664823,0.5337819,0.45221552,0.64395213,0.33778375,0.35058466,0.5015226,0.40873402,0.5868201,0.39477152,0.6998675
Col19a1,0.057318967,0.112387255,0.1402194,0.14300188,0.04862004,0.0,0.0,0.0,0.0,0.035621446,0.035621446,0.035621446,0.035621446,0.035621446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phf3,0.15810125,0.28866923,0.4421436,0.5149028,0.45948613,0.3951112,0.42433086,0.3110923,0.2703416,0.33661205,0.28156146,0.2877192,0.21351106,0.21715115,0.29587993,0.36942387,0.32592392,0.32634073,0.25897828,0.2615263,0.13826568,0.104989186,0.23043993,0.35284328,0.43072683,0.22869602,0.12502101,0.25203025,0.3584415,0.43531182,0.3441213,0.23476797,0.15263575,0.17564107,0.32071027,0.21650234,0.14545245,0.31927693,0.23275916
Ptp4a1,0.0,0.0,0.0,0.042561077,0.08568886,0.04312778,0.04312778,0.04312778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07662988,0.07662988,0.07662988,0.07662988,0.0378727,0.0,0.0,0.0,0.0,0.122921124,0.0,0.0,0.07569121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07435336
Prim2,0.23011363,0.5604723,0.37685025,0.47114676,0.34596246,0.41602248,0.28553107,0.19396372,0.22504409,0.25244138,0.33360556,0.3397633,0.359722,0.359722,0.41688117,0.29642984,0.3330812,0.36635768,0.2568808,0.2572736,0.24213633,0.08632521,0.17702726,0.23016769,0.09816043,0.0,0.0,0.0,0.0,0.0,0.053011354,0.053011354,0.08680727,0.0,0.08474984,0.08474984,0.0,0.09255107,0.0
Bag2,0.1055021,0.09598592,0.045725316,0.045725316,0.10716171,0.19278571,0.20554098,0.16888131,0.26635438,0.2625843,0.16455086,0.20805079,0.11057772,0.11057772,0.18392037,0.19033673,0.1889595,0.18895948,0.14367938,0.29381937,0.26649445,0.44306815,0.31147704,0.30728045,0.16810255,0.16907968,0.17295505,0.19869937,0.16159424,0.0,0.064136125,0.0,0.075432174,0.07419129,0.15587187,0.2280454,0.16780041,0.0,0.20408443
Zfp451,0.12903464,0.04483518,0.13613096,0.12246212,0.07700392,0.085624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06816259,0.06816259,0.06816259,0.06816259,0.0,0.0,0.0,0.0,0.0,0.105812594,0.17864403,0.06751122,0.05941245,0.0,0.06217424,0.10617393,0.10617393,0.0,0.07885977,0.07885977,0.08168058,0.0,0.0,0.0,0.07435336
Ccdc115,0.46710393,0.3459864,0.39572397,0.531584,0.4479865,0.36374936,0.41498178,0.42480648,0.5138744,0.6104078,0.70440805,0.66706586,0.5926509,0.59629095,0.55533475,0.35569933,0.5644745,0.5898162,0.4935583,0.5476935,0.57786685,0.451154,0.39672711,0.2821945,0.25425678,0.4263091,0.3671286,0.22866167,0.31420293,0.1529561,0.053011354,0.13780579,0.34053722,0.2751921,0.096781306,0.1644992,0.33723176,0.34988844,0.5773012
4930568A12Rik,0.073037945,0.047710158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0378727,0.0378727,0.0378727,0.0378727,0.0378727,0.0,0.054023154,0.054023154,0.054023154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06703862,0.06703862,0.0,0.0
Fam168b,0.2421705,0.18669185,0.18733905,0.35702753,0.39643395,0.30032867,0.26013651,0.21744984,0.21744984,0.15065579,0.20297346,0.16563125,0.16563125,0.16563125,0.15411508,0.3102595,0.3523822,0.41058356,0.41668704,0.33996186,0.44135523,0.437177,0.41318166,0.26030517,0.23411842,0.5156955,0.20667335,0.17156425,0.19179277,0.39900678,0.10617393,0.108743384,0.5332811,0.20564961,0.16150604,0.0,0.29281306,0.1449271,0.3608473
Uggt1,0.13976574,0.050132643,0.15353544,0.24163668,0.20859247,0.10947919,0.22078916,0.15035568,0.1503557,0.21320187,0.0874253,0.0874253,0.1452061,0.12626193,0.090640485,0.06739538,0.06739538,0.06781219,0.06781219,0.10531845,0.07078276,0.09936473,0.061858464,0.24160054,0.18644506,0.15106836,0.075306825,0.05560062,0.15866312,0.0723599,0.23794737,0.27551892,0.19673872,0.15368636,0.23843619,0.08474984,0.0,0.08365081,0.1616028
Neurl3,0.048214704,0.0,0.0,0.0,0.0,0.0,0.038873147,0.038873147,0.038873147,0.0,0.0,0.0,0.05778079,0.05778079,0.05778079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kansl3,0.25846404,0.20916876,0.04483518,0.045737766,0.12628591,0.11537367,0.112744376,0.07791886,0.07791886,0.0,0.0,0.04349994,0.04349994,0.04349994,0.08430144,0.11883713,0.11745989,0.15073639,0.10993488,0.19318244,0.19247615,0.15919966,0.075952105,0.0,0.0,0.07576153,0.06521481,0.070511125,0.0,0.14750437,0.18508404,0.26840693,0.17835176,0.08325391,0.16150604,0.0,0.23042616,0.0,0.18095158
