,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Mrpl15,0.09890208,0.14849144,0.19617473,0.185464,0.26007113,0.21847232,0.21847232,0.20968664,0.037310746,0.07829207,0.07829207,0.10662359,0.10622342,0.13316537,0.17475179,0.09258422,0.10785119,0.13274135,0.13274135,0.11456237,0.0,0.0,0.06028062,0.07329167,0.1121058,0.05338732,0.20329753,0.20983171,0.1359013,0.358706,0.27562842,0.0,0.0,0.1380758,0.0,0.0,0.0,0.0,0.0
Vcpip1,0.0,0.0,0.0,0.06262643,0.06262643,0.06262643,0.06262643,0.06262643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05251055,0.05251055,0.05251055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.098567545,0.098567545,0.0,0.0
Snhg6,0.19670284,0.0,0.15446351,0.15446351,0.15446351,0.15446351,0.0,0.09886935,0.1590834,0.1590834,0.14346938,0.14716548,0.10404561,0.043187194,0.10163814,0.10163814,0.1539154,0.052277274,0.062351227,0.062351227,0.0,0.05892406,0.0,0.07329167,0.0815656,0.16698498,0.08541938,0.12688094,0.059982188,0.0,0.079396665,0.0,0.09800883,0.43840265,0.48945224,0.25631812,0.24120972,0.14264217,0.0
Cops5,0.3144654,0.38537169,0.20367032,0.17016983,0.19878744,0.28521568,0.4186965,0.5914436,0.466626,0.35840574,0.3146527,0.48839942,0.5269364,0.50210476,0.27625093,0.38019693,0.3765496,0.55927193,0.6427896,0.7353104,0.5641952,0.4674548,0.54575026,0.43254918,0.3573037,0.2556359,0.26267838,0.46597284,0.37233093,0.27439553,0.08253697,0.24546748,0.3434736,0.1865578,0.47668254,0.2901247,0.19818872,0.32369077,0.21412532
Arfgef1,0.041276496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08541938,0.19273525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15758894,0.2715904,0.11400145
Ncoa2,0.0,0.05300914,0.050399836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0689313,0.0689313,0.0,0.0,0.05344799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tram1,0.13781336,0.095361084,0.045015883,0.203243,0.203243,0.24093363,0.2372096,0.17982276,0.12634838,0.14099202,0.14099202,0.16486381,0.122139834,0.1252408,0.079617575,0.079617575,0.11438914,0.17101341,0.17101341,0.0,0.119387284,0.18848026,0.13272133,0.07115915,0.06648803,0.0,0.05344799,0.085649975,0.23529565,0.22536054,0.0,0.36474,0.26502505,0.0,0.0,0.1555457,0.35703453,0.1991122,0.1991122
Lactb2,0.0,0.14220265,0.04457405,0.04457405,0.08867977,0.04410572,0.04410572,0.04410572,0.0,0.040981326,0.040981326,0.08175157,0.040770244,0.0,0.041586418,0.0,0.0,0.0,0.0,0.06647442,0.122233346,0.13840294,0.08264402,0.0,0.0,0.0,0.0,0.07480655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rpl7,1.8575553,1.9867028,1.9825357,2.115498,2.083833,2.0351028,1.9780861,1.713842,1.8241191,1.9211999,2.007892,1.9561895,2.0619423,1.8612363,1.7239863,1.6092508,1.6981763,1.8966568,1.7746472,1.357033,1.7704703,1.7207885,1.6631496,1.9025836,1.7833079,2.2303023,1.8858557,1.8143604,1.8870577,1.7219663,1.6998351,1.8286946,1.7616708,1.6674355,1.6581448,1.7783856,1.4640586,1.3938113,1.4330906
Stau2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040770244,0.040770244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07115915,0.0815656,0.16212265,0.08055705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eloc,0.7382029,0.7192411,0.6980317,0.73571575,0.7609262,0.73394275,0.7085643,0.9829532,1.0462947,0.8528385,0.8844068,0.9324959,0.9653508,1.0018665,1.0515,1.0779122,1.0620341,0.75988847,0.68013066,0.87779427,0.8216815,0.87607825,1.0740225,0.72317916,0.8611436,0.7441539,0.48645955,0.70413476,0.59402925,0.61396086,0.75894445,0.6016163,0.8089308,0.8160628,0.710919,0.7461137,0.47575915,0.46616387,0.5347929
Il17f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044460487,0.044460487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24907735,0.35705632
