,gene,umap0,umap1,cluster_kmeans,cluster_hclust,expr_sum,peak_pos
Mrpl15,Mrpl15,19.79281,7.7482996,5,5,8.756611675999999,10.0
Vcpip1,Vcpip1,9.5133295,1.4061767,12,136,5.965715350999999,
Snhg6,Snhg6,7.532747,2.7730765,1,125,22.31092101,18.0
Cops5,Cops5,19.240519,8.286844,5,2,23.07394807,19.333333333333332
Arfgef1,Arfgef1,19.494246,6.636347,4,1,4.473321357000001,13.0
Ncoa2,Ncoa2,6.30273,3.922615,10,146,3.0271068850000007,13.5
Tram1,Tram1,9.47722,11.551804,6,46,29.88394117,30.0
Lactb2,Lactb2,7.362562,3.6330843,6,99,3.756886799000001,5.0
Eya1,Eya1,8.064469,14.460289,6,50,0.2982843,
Sbspon,Sbspon,17.845013,6.652516,5,7,0.8359837139999998,
Rpl7,Rpl7,4.688249,4.305238,1,135,130.20997050000003,17.0
Ube2w,Ube2w,3.9302394,7.477731,6,22,0.634364384,
Eloc,Eloc,6.336984,1.6943074,2,64,34.645548479999995,20.0
Mcm3,Mcm3,11.539173,13.780472,2,45,44.29149014000001,13.0
Tram2,Tram2,4.8616996,6.2778544,15,107,0.950813061,
Ogfrl1,Ogfrl1,6.064177,2.0921197,1,64,17.681405046,7.5
Smap1,Smap1,19.81255,6.289759,4,1,10.613082154,13.0
Sdhaf4,Sdhaf4,-5.709173,5.220247,5,6,17.76967825,17.0
Col19a1,Col19a1,11.850465,9.138674,6,44,0.6796547719999997,
Phf3,Phf3,-5.836782,5.2817874,5,6,11.237439666,15.666666666666666
Ptp4a1,Ptp4a1,7.56748,7.3031435,3,186,0.874991191,
Prim2,Prim2,12.959148,8.532695,2,49,7.965962937999999,14.0
Bag2,Bag2,5.591091,4.6493945,1,133,6.4479916410000016,18.0
Zfp451,Zfp451,10.996642,2.6953413,14,85,1.867397054,
Ccdc115,Ccdc115,8.136448,3.0607839,6,126,15.96690297,13.5
4930568A12Rik,4930568A12Rik,3.8368375,6.6060944,15,21,0.6062583050000001,
Fam168b,Fam168b,6.962021,4.776338,8,117,10.384351634000001,20.0
Uggt1,Uggt1,18.096027,7.169538,5,7,5.155918667,31.0
Neurl3,Neurl3,12.46182,7.4011283,10,69,0.338176515,
Kansl3,Kansl3,8.6202545,5.6678534,14,190,4.047999581999999,18.0
Lman2l,Lman2l,8.666809,14.866398,12,51,0.20640324200000001,
Sema4c,Sema4c,8.950457,3.3647225,9,111,1.2523700169999998,
Actr1b,Actr1b,6.453903,2.6076772,10,61,10.96751582,15.0
Tmem131,Tmem131,6.6441464,6.534493,11,195,2.2834374090000003,17.0
Coa5,Coa5,5.2765627,3.0938296,8,71,7.001997224,13.0
Mgat4a,Mgat4a,8.317537,6.9921265,3,187,1.3699873309999997,
2010300C02Rik,2010300C02Rik,1.8347809,4.9650507,13,29,0.562851314,
Mitd1,Mitd1,6.924958,7.484238,10,174,3.7210269150000004,18.333333333333332
Txndc9,Txndc9,8.682951,5.2221026,6,155,18.757598429999998,19.25
Rev1,Rev1,9.100707,0.74204254,10,124,2.640271473999999,19.5
Aff3,Aff3,9.2247095,7.197504,12,139,20.783327200000002,11.5
Tbc1d8,Tbc1d8,11.053034,4.7666464,15,21,0.7993038969999999,
Rnf149,Rnf149,8.163839,2.1458595,2,115,4.984130701999998,17.5
Tgfbrap1,Tgfbrap1,4.8518066,5.7364807,15,175,1.5553118680000002,12.0
Fhl2,Fhl2,8.031976,8.420607,11,192,1.38337207,25.0
Uxs1,Uxs1,19.283543,8.5017805,5,2,8.612960128,17.0
Tex30,Tex30,10.541109,8.688289,1,114,14.59907344,5.0
Kdelc1,Kdelc1,4.2925014,5.795893,15,27,1.8284366890000003,18.0
Slc39a10,Slc39a10,5.9854074,2.8780134,6,64,3.7567618229999997,11.0
Gls,Gls,10.025448,2.0214458,9,82,1.6507181770000001,31.0
Nab1,Nab1,8.752615,5.049351,14,102,3.964208067999999,9.0
Mfsd6,Mfsd6,8.049101,4.88468,14,33,1.4906820020000002,21.0
Inpp1,Inpp1,6.9720097,8.5962715,11,192,3.9737258579999994,
Pms1,Pms1,4.7689185,3.011908,8,57,1.722773786,25.0
Asnsd1,Asnsd1,8.285999,0.28169456,1,34,7.161469958,21.5
Stk17b,Stk17b,5.747249,4.692942,10,133,8.572373179000001,12.0
Gtf3c3,Gtf3c3,10.901454,1.6893291,8,83,3.413358863999999,14.0
Ankrd44,Ankrd44,6.299893,4.0065656,10,64,4.929169153000001,15.0
Sf3b1,Sf3b1,7.783121,2.5221865,1,157,55.40744149999998,18.0
Hspd1,Hspd1,5.6288986,-2.982131,2,66,59.643741720000016,6.0
Rftn2,Rftn2,8.328763,6.985806,3,189,1.2111104739999998,
Tyw5,Tyw5,-5.597058,5.1568356,5,6,3.6071731810000007,18.5
Kctd18,Kctd18,5.3919067,3.459106,2,94,3.1397255119999996,3.0
Clk1,Clk1,6.578418,3.935506,10,147,15.067725969999996,15.5
Ppil3,Ppil3,5.947027,6.816545,9,86,13.505745397000002,6.0
Orc2,Orc2,3.7049177,-1.0573359,1,73,8.514437118,19.666666666666668
Fam126b,Fam126b,9.385953,2.4798203,8,89,3.454709952,24.0
Trak2,Trak2,4.50266,6.270483,15,23,1.040069329,
Tmem237,Tmem237,2.3317285,-0.4432803,2,40,4.891263646999999,26.5
Sumo1,Sumo1,4.4705253,6.2609534,15,23,0.5779444229999999,
Wdr12,Wdr12,5.165191,-0.21481214,12,77,20.781419740000008,16.0
Gm11579,Gm11579,3.9481137,6.30429,15,21,0.616039236,
Gm4208,Gm4208,7.2723007,6.537098,8,160,4.505338476,30.0
Ino80d,Ino80d,18.377398,7.708685,4,5,6.480274064000001,19.0
Ndufs1,Ndufs1,8.736156,0.53660405,9,137,16.204354794999997,14.5
Klf7,Klf7,19.83591,6.4286146,4,1,4.277540193999999,15.0
Mettl21a,Mettl21a,5.2214975,4.5607853,8,121,2.8910588139999995,13.0
Idh1,Idh1,5.8457017,4.7839637,6,100,2.6809672799999995,30.0
Kansl1l,Kansl1l,10.050379,4.301093,9,173,1.6240630599999997,23.0
Acadl,Acadl,17.755241,6.565935,5,7,26.224625770000003,16.666666666666668
Lancl1,Lancl1,18.042946,7.1619744,5,7,11.948982410000003,10.5
Ikzf2,Ikzf2,6.3737555,7.088067,11,151,14.171240330999995,
Bard1,Bard1,4.0761757,5.4744477,15,27,3.874006939,15.0
Pecr,Pecr,-5.758359,5.285141,5,6,5.158879806999999,21.0
Tns1,Tns1,3.923861,-0.80464506,6,73,6.490264650999999,15.0
Aamp,Aamp,4.474979,4.097737,1,132,33.403702020000004,15.0
Tmbim1,Tmbim1,9.49796,3.3527238,12,136,1.214371659,
Usp37,Usp37,3.8179426,-0.93403167,1,73,5.114715743,18.0
Zfp142,Zfp142,6.147979,5.5908012,14,176,0.745157507,
Rnf25,Rnf25,7.332146,0.679684,8,52,3.101504482,25.0
Nhej1,Nhej1,9.66217,2.827728,9,110,1.8284849589999999,30.0
Cnppd1,Cnppd1,5.21829,4.8400254,10,135,13.048327983000005,11.0
Abcb6,Abcb6,4.748974,2.6263237,8,57,2.4596626159999997,16.0
Atg9a,Atg9a,9.199743,3.6572385,9,92,2.7762820230000003,
Glb1l,Glb1l,2.9837408,4.312619,8,17,0.784501312,
Tuba4a,Tuba4a,5.772946,-5.5627885,1,47,45.22892807000001,6.0
Dnpep,Dnpep,8.385513,5.804407,6,153,12.603167160000002,10.5
Chpf,Chpf,9.211521,4.177752,12,11,1.206752181,
Farsb,Farsb,6.5386534,1.7579832,1,59,2.240760971,16.0
