,gene,umap0,umap1,cluster_kmeans,cluster_hclust,expr_sum,peak_pos
Mrpl15,Mrpl15,8.703544,9.07668,11,94,4.451380366,9.0
Vcpip1,Vcpip1,11.672185,3.205105,15,89,0.6677988899999999,
Snhg6,Snhg6,9.0844555,12.099557,12,173,4.602111314999999,17.5
Cops5,Cops5,9.19137,-6.806408,3,3,14.554429489999999,19.0
Arfgef1,Arfgef1,14.518492,9.330021,7,50,0.8626119160000001,
Ncoa2,Ncoa2,12.974543,3.7221205,15,121,0.29471956600000004,
Tram1,Tram1,10.559229,11.037646,4,160,5.49743018,5.0
Lactb2,Lactb2,8.651083,9.295279,5,94,1.18297984,21.0
Rpl7,Rpl7,9.0951805,-7.3080626,3,2,70.51045439999997,13.333333333333334
Stau2,Stau2,10.933322,5.988581,5,96,0.47694493800000004,
Eloc,Eloc,11.3858795,8.041959,11,116,30.68823709999999,24.0
Il17f,Il17f,14.637444,8.524359,7,49,0.695054644,
Mcm3,Mcm3,5.3733387,11.624754,11,170,12.42618802,12.0
Tram2,Tram2,12.4024315,3.3728604,15,89,0.38844371499999997,
Ogfrl1,Ogfrl1,11.693158,13.910159,13,106,7.622263925000001,19.0
Smap1,Smap1,8.14048,9.543269,10,38,5.160306497,8.5
Sdhaf4,Sdhaf4,11.865589,7.838326,10,75,10.007097465999996,28.0
Phf3,Phf3,12.489375,7.5210495,5,115,1.286117641,16.0
Prim2,Prim2,5.889012,10.615565,6,147,5.208031524000001,22.333333333333332
Bag2,Bag2,11.065573,7.916629,11,115,4.3479486309999995,8.0
Zfp451,Zfp451,8.417,5.2071266,11,130,0.961364419,
Ccdc115,Ccdc115,9.035374,12.205792,12,173,7.9431304219999985,20.5
Fam168b,Fam168b,12.702024,12.519356,1,141,3.0463164120000004,12.0
Uggt1,Uggt1,12.219321,3.6190383,15,89,0.386856819,
Kansl3,Kansl3,12.275768,3.3313842,15,89,0.337142858,
Actr1b,Actr1b,8.709754,12.704999,12,150,7.179999254000002,13.0
Tmem131,Tmem131,12.509279,6.210382,14,63,0.34971327599999996,
Coa5,Coa5,9.954841,5.7004933,5,99,1.00143268,
Mgat4a,Mgat4a,11.638523,3.1786537,15,90,0.560949804,
2010300C02Rik,2010300C02Rik,13.807365,7.39903,7,64,0.36841248000000004,
Mitd1,Mitd1,12.903812,11.432921,7,31,2.054284106,26.0
Txndc9,Txndc9,13.107018,9.821405,11,19,13.794166639999998,13.0
Rev1,Rev1,8.564045,-7.1887646,3,6,0.7854246280000001,
Aff3,Aff3,11.899611,3.8821642,15,91,0.37629994,
Rnf149,Rnf149,8.369221,-8.170894,3,4,1.421306256,
Fhl2,Fhl2,7.8523893,-7.156764,3,5,2.71092182,
Uxs1,Uxs1,14.147771,10.932616,9,12,1.7335373459999999,10.0
Tex30,Tex30,7.1297855,11.649887,11,145,9.658345689999997,8.0
Kdelc1,Kdelc1,5.479022,7.629797,5,71,0.844711781,
Slc39a10,Slc39a10,8.936514,6.0038886,11,52,1.484982712,16.0
Nab1,Nab1,11.755904,3.6388454,15,91,0.41975475,
Inpp1,Inpp1,13.684774,11.040405,9,21,1.5799096169999998,
Pms1,Pms1,5.5613375,6.7830873,5,69,0.6692418000000001,
Asnsd1,Asnsd1,5.80603,7.946041,10,71,1.3051994939999998,5.0
Stk17b,Stk17b,14.829751,11.056824,10,46,1.264239634,17.5
Gtf3c3,Gtf3c3,-5.990737,11.434608,3,1,0.8855578490000001,
Ankrd44,Ankrd44,12.486409,6.1292405,7,63,0.34109775999999997,
Sf3b1,Sf3b1,11.708161,10.943923,11,158,21.589672560000004,16.0
Hspd1,Hspd1,5.8716397,12.080006,6,149,44.67611189999999,36.0
4930558J18Rik,4930558J18Rik,6.4198203,5.2471375,11,127,0.5659208840000001,
Tyw5,Tyw5,14.287949,12.053591,9,139,2.2565746290000006,16.0
Kctd18,Kctd18,13.251964,5.81014,10,124,0.37614698,
Clk1,Clk1,9.119169,7.4950495,2,82,1.533972745,
Ppil3,Ppil3,14.351602,12.126528,11,139,5.433928996000001,15.5
Orc2,Orc2,9.607329,13.704315,5,51,0.8257803739999999,16.0
Fam126b,Fam126b,8.644741,16.862118,5,61,0.676856914,4.0
Tmem237,Tmem237,10.560454,9.874578,8,10,2.759958357,
Sumo1,Sumo1,12.910796,3.746553,15,121,0.334250663,
Wdr12,Wdr12,10.390861,12.129259,13,135,17.823327183999996,14.5
Raph1,Raph1,5.5728045,6.777549,11,69,0.680548902,
Gm4208,Gm4208,10.075817,7.032891,5,8,7.461203240000001,23.0
Ndufs1,Ndufs1,11.401831,11.58441,13,133,5.893599682,3.0
Klf7,Klf7,11.667239,10.318104,7,27,1.888549947,14.0
Mettl21a,Mettl21a,9.194521,5.093932,2,67,1.008095616,30.0
Idh1,Idh1,8.669542,9.197017,10,94,3.6925728990000004,13.0
