cluster_hclust,cluster_hclust,module_size,member,mean_expr,peakpos_mean,peakpos_std
1,1,191,"['Arfgef1' 'Smap1' 'Klf7' 'Ralb' 'Lmbrd1' 'Ptpn18' 'Cnnm3' 'Cflar'
 'Fastkd2' 'Dnajb2' 'Ipcef1' 'Rnf146' 'Rap1b' 'Xpot' 'Epm2a' 'Dnajb12'
 'Herc4' 'Btg1' 'Atp2b1' 'Ppp1r12a' 'Ctdsp2' 'Arhgap9' 'Cd63' 'Senp3'
 'Dhx33' 'Tmem199' 'Pigw' 'Rpl23' 'Mien1' 'Ezh1' 'Limd2' 'Usp36' 'Stk10'
 'Rnf145' 'Ttc19' 'Txndc17' 'Nf1' 'Rhot1' 'Ppp1r9b' 'Mllt6' 'Cdk12' 'Pgs1'
 'Nfkbia' 'Trappc6b' 'Vti1b' 'Sptlc2' 'Ccdc88c' 'Dlk1' 'Zfp386' 'Lgals8'
 'Stard3nl' 'Serpinb6a' 'Col4a3bp' 'Il17rb' 'Hacl1' 'Ankrd28' 'Atg14'
 'Rabggta' 'Extl3' 'Pdlim2' 'Xpo7' 'Cog3' 'Tbc1d4' 'Rps24' 'Capn7' 'Oxa1l'
 'Zfp395' 'Rcbtb2' 'Tpt1' 'Klf10' 'Trps1' 'Celsr1' 'Bin2' 'Zc3h7b'
 'Slc15a2' 'Zbtb11os1' 'Dscr3' 'Bfar' 'Abcf3' 'Ahsg' 'Bach1'
 'B230307C23Rik' 'Dusp1' 'Rps10' 'Rps18' '2310061I04Rik' 'Klc4' 'Myl12b'
 'Thumpd2' 'Phf1' 'Ndufv3' 'Prrt1' 'Mdc1' 'Trip10' 'Ptpn2' 'Pura' 'Wdr55'
 'Rps14' 'Napg' 'Lrp5' 'Gstp3' 'Gpr137' 'Slc3a2' 'Gnaq' 'Tnks2' 'Sec16a'
 'Zdhhc12' 'Fbxw2' 'Hipk3' 'Trp53bp1' 'Ninl' 'Arfrp1' 'Sp3os' 'Mpped2'
 'B2m' 'Bcl2l11' 'Dtd1' 'Cbfa2t2' 'Rps21' 'Siah2' 'Lxn' 'Sema4a' 'Ecm1'
 'Lrba' 'AI504432' 'Btbd19' 'Zmpste24' 'Ncdn' 'Zmym4' 'Pink1' 'Chchd7'
 'Eps15' 'Faf1' 'Trim62' 'Ptp4a2' 'Gale' '5031425E22Rik' 'Tmub1' 'Fbxl5'
 'Gnpda2' 'Ssh1' 'Clip1' 'Anapc4' 'Rufy3' 'Rpl5' 'Zscan21' 'Ndufa5'
 'Zfp746' 'Gimap6' 'Wnk1' 'Pex5' 'Akr1b10' 'AI854703' '0610030E20Rik'
 'Iffo1' 'Leng1' 'Gramd1a' 'Ppp1r15a' 'Rps3' 'Hbb-bs' 'Rps15a' 'Slc1a5'
 'Prkd2' 'Tm2d3' 'Kdm8' 'Acadsb' 'Edrf1' 'Mgmt' 'Rplp2' 'Ddhd2' 'Dctn6'
 'Adgre5' 'Dcaf15' 'Vps35' 'Itfg1' 'Stxbp2' 'Arv1' 'Hacd3' 'Pdcd6ip'
 'Cmc1' 'Ano10' 'Tmem158' 'Pus3' 'Dnaja4' 'Oaz2' 'Myo1e' 'Elovl5' 'Plscr1'
 'Lrrfip2' '2610002M06Rik' 'Pdha1']",15.691010030235603,15.768264840182647,6.420852442412171
2,2,302,"['Cops5' 'Uxs1' 'Vps4b' 'Tsn' 'Dbi' 'Ddx18' 'Rrs1' 'Terf1' 'Mpc2' 'Rpf2'
 'Sirt1' 'Tmpo' 'Nudt4' 'Yeats4' 'Cpsf6' 'Nup107' 'Rassf3' 'Reps1' 'Snx3'
 'Dna2' 'Fbxo7' 'Nup37' 'Ddx56' 'Vrk2' 'Hnrnpab' 'Wrap53' 'Mpdu1' 'Vmp1'
 'Ccr7' 'Cdc27' 'Fam104a' 'Atp5h' 'Recql5' 'Pcyt2' 'Ogfod3' 'Rhbdd3'
 'Hint1' 'Med9' 'Tmem107' 'Fxr2' 'Dvl2' '2610507B11Rik' 'Srsf1' 'Rapgefl1'
 'Tubg1' 'Rdm1' 'Nup85' 'Gps1' 'Timm9' '2010107E04Rik' 'Smc6' 'Iah1'
 'Lrr1' 'Mthfd1' 'Eif2s1' 'Zfp410' 'Zc3h14' 'Papola' 'Eif5' 'Hist1h2bl'
 'Hist1h2an' 'Hist1h2ae' 'Hist1h1e' 'Gmds' 'Ptpdc1' 'Mxd3' 'Lman2'
 'Zfp367' 'Trip13' 'Ccnb1' 'Ndufaf2' 'Trim27' 'Hist1h2bm' 'Hist1h3f'
 'Hist1h4d' 'Hist1h2bb' 'Tdp2' 'Cetn3' 'Tmem167' 'Wdhd1' 'Pspc1' 'Cdadc1'
 'Kpna3' 'Cdca2' 'Actr8' 'Sucla2' 'Nufip1' 'Azin1' 'Rangap1' 'Cyb5r3'
 'Lmf2' 'Nup155' 'Pdxp' 'Aco2' 'Troap' 'Tarbp2' 'Nmral1' '2610318N02Rik'
 'Sdf2l1' 'Fbxo45' 'Gart' 'Psmg1' 'Hmgn1' 'Smpd4' 'Ap2m1' 'Smim11' 'Morc3'
 'Mlst8' 'Cuta' 'Ppil1' 'Ccdc167' 'Bysl' 'Smchd1' 'Dpy30' 'Calm2' 'Mrpl28'
 'Srsf3' 'Nrm' 'Oard1' 'Gemin6' 'Spata24' 'Ppic' 'Tcof1' 'Me2' 'Snrpd1'
 'Zfp397' 'Tcerg1' 'Commd10' 'Rce1' 'Mrpl49' 'Fkbp2' 'Incenp' 'Fen1'
 'Psat1' 'Fxn' 'Chuk' 'Ppp1ca' 'Atl3' 'Smc3' 'Nanos1' 'Suv39h2' 'Rbm17'
 'Hacd1' 'Tor1a' 'Ola1' 'Hsd17b12' 'Rmdn3' 'Gatm' 'Ncaph' 'Pcna' 'E2f1'
 'Ahcy' 'Aurka' 'Psma7' 'Sephs1' 'Zmynd19' 'Odf2' 'Exosc2' 'Nup214' 'Ppig'
 'Ssb' 'Ube2e3' 'Ssrp1' 'Ccdc34' 'Wdr76' 'Nop56' 'Phf20' 'Mybl2' 'Polr3k'
 'Golim4' 'Dap3' 'Cks1b' 'Psmb4' 'Psmd4' 'Mrps21' 'Bola1' 'Rbm15' 'Larp7'
 'Plk4' 'Smc4' '4930579G24Rik' 'Hdgf' 'Phtf1' 'Psma5' 'Arhgef39' 'Tpm2'
 'Pole3' 'Itgb3bp' 'Ppie' '1110065P20Rik' 'Rbbp4' 'Zbtb8a' 'Nudc' 'Pdik1l'
 'Ndufaf4' 'Nans' 'Smc2' 'Med8' 'Mycbp' 'Mrps15' 'Psmb2' 'Zbtb8os' 'Rpa2'
 'E2f2' 'A430005L14Rik' 'Aurkaip1' 'Tomm7' 'Paxip1' 'Hadha' 'Ost4' 'Ppm1g'
 'Pds5a' 'Hnrnpd' 'Hnrnpdl' 'Gak' 'Suds3' 'Rfc5' 'Chchd2' 'Pom121' 'Agfg2'
 'Mcm7' 'Aimp2' 'Slc7a1' 'Gpn1' 'Tacc3' 'Gm1673' 'Tbc1d19' 'Paics' 'Ung'
 'Psmd9' 'Atp6v0a2' 'Rfc2' 'Baz1b' 'Polr1d' 'Ezh2' 'Hnrnpa2b1' 'Chchd6'
 'Rbsn' 'Ankrd26' 'Ncapd2' 'Ndufa9' 'Rad51ap1' 'Gars' 'Immt' 'Ruvbl1'
 'Tatdn2' 'Hnrnpf' 'D6Wsu163e' 'Sae1' 'Clec11a' 'Bcl2l12' 'Grwd1' 'Saal1'
 'Nup98' 'Nfatc2ip' 'Bcl7c' 'Ndufa3' 'Snrpd2' 'B3gnt8' 'Sars2' 'Ticrr'
 'Rrm1' 'Mettl9' 'Hirip3' 'Ash2l' 'Ing2' 'Sap30' 'Ddx49' 'Lsm6' 'Smarca5'
 'Ciapin1' 'Cnot1' 'Gfod2' 'Rfwd3' 'Gcsh' 'Nup133' 'Vps36' 'Cenpu' 'Casp3'
 'Naf1' 'Dda1' 'Otud4' 'Gins3' 'Cyb5b' 'Aars' 'Vps26b' 'Ube4a' 'Rbm7'
 'Kif23' 'Mrps22' '9530077C05Rik' 'Msantd2' 'Snapc5' 'Topbp1' 'Cdc25a'
 'Mbnl3' 'Lage3' 'Ubl4a' 'Bex1' 'Dkc1' 'Pin4' 'Prps1']",18.39050523818874,15.487699876998771,5.63616540675561
3,3,100,"['Cops9' 'Tmem70' 'Agfg1' 'Nifk' 'Rbbp5' 'Eprs' 'Ptpn14' 'Rexo1' 'Rps26'
 'Chchd10' 'Cdc34' 'Tada2a' 'Usp32' 'Kat2a' 'Ftsj3' 'Nt5c' 'Cd7' 'Sar1b'
 'Sept4' 'Phb' 'D11Wsu47e' 'Cfl2' 'Wdr89' 'Max' 'Rdh14' '1110008L16Rik'
 'Serpina3f' 'Yy1' 'Gzma' 'Dhx29' 'Spata13' 'Ebag9' 'Myc' 'L3mbtl2'
 'Gspt1' 'Usp16' 'Dll1' 'Abcf1' 'Cul9' 'Zfp760' 'Wdr46' 'Psmb8' 'Ccdc94'
 'Tpgs2' 'Exosc1' 'Eef1g' 'Prpf19' 'Slc18a2' 'Prpf18' 'Spout1' 'Zfp661'
 'Fam69b' 'Set' 'Celf1' 'Nop10' 'Rae1' 'Mrps28' 'Ahcyl1' 'Fam189b' 'Fancg'
 'Btf3l4' 'Ctps' 'Utp11' 'Pex14' 'Polr1e' 'Ebna1bp2' 'Yrdc' 'Pus7' 'Sbno1'
 'Ap1s1' 'Cad' 'Fam193a' 'Rpap2' 'Fam222a' 'Abhd11' 'Tbl2' 'Daglb' 'Anxa4'
 'Fkbp4' 'Fam60a' 'Nop2' 'Prr12' 'Nucb1' 'Tmem160' 'Ap2s1' 'Pglyrp1'
 'Nob1' 'Mrps31' 'Thap1' 'Sugp2' 'Jak3' 'Orc6' 'Fto' 'Utp4' 'Zfp266'
 '1190002N15Rik' 'Alkbh8' 'Siae' 'Alg9' 'Cox7b']",16.47314378322,16.245884773662553,5.933308480088513
4,4,89,"['Ncstn' 'Adss' 'Desi2' 'Abracl' 'Mcu' 'Vps26a' 'Plpp2' 'Canx' 'Flii'
 'Prpsap2' 'Ulk2' 'Ndel1' 'Spag7' 'Gosr1' 'Kat7' 'Ccdc47' 'Phf23' 'Tlk2'
 'Unk' 'Mettl23' 'Baz1a' 'Asap2' 'Ylpm1' 'Mta1' 'Nup153' 'Higd2a' 'Grk6'
 'Pde12' 'Psmb5' 'Emc9' 'Abcc4' 'Uggt2' 'Psmc6' 'Fmnl3' 'Hsf1' 'Thap7'
 'Slc35a5' 'Eif4g1' 'Atg3' 'Zbtb11' 'Tomm70a' 'Snhg9' 'H2-Ke6' 'Daxx'
 'Safb' 'Taf7' 'Yipf5' 'Mex3c' 'Mrpl21' 'Map4k2' 'Mta2' 'Cdc37l1' 'Atf2'
 'Aqr' 'Edf1' 'Ap4e1' 'Gid8' 'Tsacc' 'Ostc' 'Selenof' 'Ripk2' 'Stx12'
 'Fam76a' 'Tmem59' 'Cc2d1b' 'Luzp1' 'Mterf1a' 'Nelfa' 'Eif2b1' 'Zfand2a'
 'Snx17' 'Zfp512' 'Tmem165' 'Mrpl1' 'Dnajc30' 'Sun1' 'Kbtbd2' 'Pole4'
 'Tes' 'Cox6b2' 'Sphk2' 'Elavl1' 'Tecr' 'Dnaja2' 'Chtf8' 'Dis3l' 'Adam10'
 'Gripap1' 'Atp6ap2']",13.403971196382022,16.40909090909091,5.795904069879074
5,5,304,"['Mrpl15' 'Ino80d' 'Ppip5k2' 'Suco' 'Tfb2m' 'Nvl' 'Unc50' 'Gigyf2'
 'R3hdm1' 'Nuak2' 'Ppp1r15b' 'Kdm5b' 'Tnni1' 'Ccdc181' 'Cd84' 'Aim2'
 'Sde2' 'Rab3gap2' 'Gtf3c6' 'Tmem259' 'Ncln' 'Nedd1' 'Dtx3' 'Bclaf1'
 'Cdk19' 'Bsg' 'Atp5d' 'Cirbp' 'Ndufs7' 'Krr1' 'Nf2' 'Mdh1' 'Ahsa2'
 'Erlec1' 'Uqcrq' 'Polr2a' 'Spns2' 'Kansl1' 'H3f3b' 'Cep131' 'Wdr92'
 'Psme4' 'Slu7' 'Mrnip' 'Sap30l' 'Mettl16' 'Rnft1' 'Trim37' 'Mrpl27'
 'Scrn2' 'Coasy' 'Dhx8' 'Ywhaq' 'Rnf144a' 'Dld' 'Egln3' 'Aldh6a1'
 'Ppp4r3a' 'Asxl2' 'Hpcal1' 'Fcf1' 'Psmc1' 'Akr1e1' 'Hist1h3e' 'Hist1h2ac'
 'Dtnbp1' '4833439L19Rik' 'Gkap1' 'Zfp748' 'Slf1' 'Vps41' 'Mrpl36' 'Ssbp2'
 'Ap3b1' 'Oxsm' 'Smim4' 'Ccar2' 'Spry2' 'Adk' 'Vdac2' 'Arhgef40' 'Tox4'
 'Stk3' 'Eif3e' 'Taf2' 'Csnk1e' 'Slc25a17' 'Mcat' 'Rpap3' 'Rhebl1' 'Emc2'
 'Atf4' 'Tspo' 'Smarcd1' 'Dazap2' 'Hnrnpa1' 'Ubald1' 'Rsl1d1' 'Parn'
 'Parl' 'Adprh' 'Abhd10' 'Gm4737' '4930453N24Rik' '1110004E09Rik' 'Arvcf'
 'Polr2h' 'N6amt1' 'Qk' 'Amdhd2' 'Cpne5' 'Angptl4' 'Prrc2a' 'Prr3' 'Rpp21'
 'Mad2l1bp' 'Ubxn6' '2410015M20Rik' 'Rab31' 'Ankrd12' 'Tcp1' 'Brpf3'
 'Rrp1b' 'Dxo' 'Ddah2' 'Supt3' 'Pex6' 'Mrps10' 'Rock1' 'Lars' 'Zmat2'
 'Ndufs8' 'Rab1b' 'Drap1' 'Snx32' 'Ttc9c' 'Pum3' 'Pank1' 'Actr1a' 'Prdx3'
 'Eif1ad' 'Cpsf7' 'Zfand5' 'Btaf1' 'Rabl6' 'Rbm18' 'Baz2b' 'Atg13'
 'Ddrgk1' 'Ralgapa2' 'Stau1' 'Ythdf1' 'Nmt2' 'Upf2' 'Mllt10' 'Golga2'
 'Gpd2' 'Dync1i2' 'Mtx2' 'Fnbp4' 'Cstf3' 'Immp1l' 'Katnbl1' 'BC052040'
 'Fam98b' 'Rpusd2' 'Chp1' 'Ctdspl2' 'Galk2' 'Cdc25b' 'Mavs' 'Dnttip1'
 'Zfp704' 'Kpna4' 'Rps3a1' 'Pip5k1a' 'Anxa9' 'Atp5f1' 'Fxr1' 'Exosc9'
 'Naa15' 'Proser1' 'Pogz' 'Csde1' 'Gng5' 'Fubp1' 'Zranb2' 'Rps8' 'Thrap3'
 'Tmem39b' 'Khdrbs1' 'Sfn' 'Slc25a33' 'Tas1r1' 'Tgs1' 'Il11ra1' 'Trmt10b'
 'Ccdc163' 'Oscp1' 'Marcksl1' 'Nr0b2' 'Hnrnpr' 'Mxd4' 'Bloc1s4' 'Bod1l'
 'Tapt1' 'Sart3' 'Git2' 'Prkab1' 'Pebp1' 'Cdk2ap1' 'Ywhag' 'Mrm2' 'Ttyh3'
 'Zdhhc4' 'Pmpcb' 'Cep135' 'Ythdc1' 'Mrps18c' 'Srsf9' 'Rplp0' 'Orai1'
 'Pds5b' '2610001J05Rik' 'Wasl' 'Rbm28' 'Zc3hc1' '3110062M04Rik' 'Tra2a'
 'Adipor2' 'Kras' 'Vps50' 'Zfp282' 'Snx10' 'Arl8b' 'Brpf1' 'Atf7ip' 'Usf2'
 'Med25' 'Idh2' 'Uros' 'Kmt5c' 'Rps5' 'Trim28' 'Phldb3' '1600014C10Rik'
 'Nkg7' 'Akt1s1' 'Tm6sf1' 'Ints4' 'Clpb' 'Numa1' 'Bccip' 'Ptpre' 'Upf1'
 'Eps15l1' 'Cc2d1a' 'Nudt21' 'Cenpt' 'Atxn1l' 'Arhgef18' 'Snapc2' 'Champ1'
 'Thsd1' 'Pcm1' 'Rwdd4a' 'Atp13a1' 'Pgls' 'Fam32a' 'Lyl1' 'Dnase2a'
 'Polr2c' 'Ap1g1' 'Trappc2l' 'Ntpcr' 'Oaf' 'Trappc4' 'Pts' 'Csk' 'Map2k5'
 'Smad3' 'Snx14' 'Cdv3' 'Bfsp2' 'Dcun1d5' 'Pde4a' 'Prkcsh' 'Zbtb44'
 'Idh3a' 'Rcn2' 'Rpl4' 'Fam96a' 'Leo1' 'Rbp1' 'Twf2' 'Elp6' 'Ctnnb1'
 'Flna' 'Las1l' 'Atrx' 'Gnl3l' 'Mcts1' 'Tbl1x' 'Piga']",16.76288172132237,16.321515151515154,6.098815143532425
6,6,231,"['Sdhaf4' 'Phf3' 'Tyw5' 'Pecr' 'Tmem177' 'Cep170' 'Akt3' 'Cr1l' 'Cnnm4'
 'Il1rl2' 'AI597479' 'Retreg2' 'Ankzf1' 'Cops7b' 'Dgkd' 'Trmt1l' 'Slamf6'
 'Gpatch2' '1700021F05Rik' '2610008E11Rik' '4930430F08Rik' 'Spryd4'
 'Shprh' 'Mical1' 'Hace1' 'Gm12184' 'Natd1' 'Nup88' 'Sgsm2' 'Srr'
 'Ankrd13b' 'Gm11491' 'Retreg3' 'Ccdc43' 'Acox1' 'Jmjd6' 'Arl16' 'Rfng'
 'Tmem17' 'Asb3' 'Hba-a1' 'Fam222b' 'Rnf135' 'Socs7' 'Tmem94' 'Ccdc137'
 'Rps7' 'Cbll1' 'Bcap29' 'Kidins220' 'Togaram1' 'Atp5s' 'Uimc1'
 '6720489N17Rik' 'Zfp738' 'Ptcd2' 'Gm26735' 'Psmg4' 'Cdyl' 'Cdh24' 'Dhrs1'
 'Xpo4' 'Chmp7' 'Zswim8' 'Fbxo34' 'Zmym2' 'Brix1' 'Slc25a32' 'Ly6a'
 'Zc3h3' 'Brd1' 'Zcrb1' 'Pus7l' 'Bcdin3d' 'Spryd3' 'Vps13b' 'Wdyhv1'
 'Hgh1' 'Gpt' 'Lrrc14' 'Trmu' 'Trmt10c' 'Zfp654' 'Rwdd2b' 'C2cd2'
 'Tmem191c' 'Dvl3' 'Lpp' 'Rabl3' 'Rpl24' 'Jpt2' 'Zfp81' 'Ppp1r11'
 'AY036118' 'Twsg1' 'Mcfd2' 'Hcfc1r1' 'Gm26724' 'Neu1' 'Dhx16' 'Gm42418'
 'Cebpzos' 'Gm6741' 'Slc25a46' 'Pggt1b' 'Rbfa' 'Ercc3' 'Wdr36' 'Rell2'
 'Snx2' 'Isoc1' 'Grk2' 'Ccs' 'Prdx5' 'Gm10353' 'Pcgf6' 'Zdhhc24' 'Lcor'
 'Dusp5' 'Fbxo18' 'Nelfb' 'Fpgs' 'Ubr1' '1500011K16Rik' 'Dph7' 'Usp20'
 'Gca' 'Metap1d' 'Chchd5' 'Map1lc3a' 'Aar2' '2900093K20Rik' 'Zswim1'
 'Naxe' 'Zfp687' 'Chd1l' 'Gstm4' 'Ptbp2' 'Fam241a' 'Adgrl2' 'Skil'
 'Pik3ca' 'Mfn1' 'Hist2h3c1' 'Lrrc40' 'Decr1' 'Tstd3' 'Alg2' 'Slc46a2'
 'Dmac1' 'Zdhhc21' 'Ldlrap1' 'Gm13012' 'Dnajc16' 'Tnfrsf1b' 'Plod1'
 'Virma' 'Smim27' 'Dhcr24' 'Coa7' '9930104L06Rik' 'Tmem35b' 'Eif2b4'
 'Rbks' 'Apbb2' 'Abraxas1' 'Ptcd1' 'A630072M18Rik' 'Babam2' 'Gm15446'
 'Fbxo21' 'Pptc7' 'Ddx55' 'Nsun5' 'Rhbdd2' 'Eif2ak1' 'Gm26699' 'Zfp777'
 'Phc1' 'Malsu1' 'Gp9' 'Dcp1b' 'Gm26802' 'Atg16l2' '2510046G10Rik'
 'Eef1akmt2' 'Tnfrsf26' 'Nadsyn1' 'Zfp607a' '2610021A01Rik' 'Zfp788'
 'Efl1' 'Paox' 'Ubxn8' 'Trappc11' 'Tma16' 'Rex1bd' 'Mpv17l2' 'Gm10282'
 'D8Ertd738e' 'Tk2' 'Tradd' 'Gm5914' 'Abcb10' 'Tmem38a' 'Prmt9' 'Anapc10'
 'Trir' 'Zfp276' 'Gas8' 'Zfp599' 'Ccdc84' 'Dlat' 'Sik2' 'Slc17a5' 'Pccb'
 'Sec22c' 'Ppp2r3d' 'Slc36a4' 'Pcsk7' 'Psma4' 'Nedd4' 'Abhd14b' 'mt-Nd3'
 'mt-Nd4' 'Pqbp1' '1810030O07Rik' 'Fam3a' 'Cmc4' 'Gm15261' '3830403N18Rik']",7.586673704008659,16.611764705882354,6.337167335059137
7,7,249,"['Sbspon' 'Uggt1' 'Acadl' 'Lancl1' 'Nenf' 'Bzw1' 'Stradb' 'Abi2' 'Sp100'
 'Ccnt2' 'Sell' 'Selp' 'Usf1' 'Myb' 'Mfsd4b4' 'Serinc1' 'Ddx50' 'Mmp11'
 'S1pr4' 'Gna15' 'Atxn7l3b' 'Tbc1d15' 'Rab3ip' 'Bloc1s1' 'Atg5' 'Bcr'
 'Itgb2' 'Ppm1h' 'Baz2a' 'Cnpy2' 'Rufy1' 'Anxa6' 'Mapk7' 'Cntrob' 'Cd68'
 'Pfn1' 'Abi3' 'Hdac5' 'Atxn7l3' 'Smarcd2' 'Slc39a11' 'Xbp1' 'Rab1a'
 'Rtn4' 'Fnip1' '2810021J22Rik' 'Mmgt2' 'Ccl4' 'Trim25' 'Nmt1' 'Mfsd11'
 'Endov' 'Trappc12' 'Zfp277' 'Map4k5' 'Snw1' 'Laptm4a' 'Hspa2' 'Plekhg3'
 'Gpatch2l' 'Calm1' 'Gpr141' 'Card19' 'H2afy' 'Mterf3' 'Atg10' 'Gdi2'
 'Mplkip' 'Slc38a9' 'Prkcd' 'Spcs1' 'Rnase12' 'Sall2' 'Rpgrip1' 'Rnf31'
 'Bin3' 'Cln5' 'Eif3h' 'Naga' 'Nfam1' 'Plxnb2' 'Slc38a1' 'Golph3' 'Dap'
 'Parvg' 'Alg10b' 'Litaf' 'Cpped1' 'Acap2' 'D16Ertd472e' 'Cldnd1' 'Usp25'
 'Ezr' 'Fkbp5' 'BC051226' 'Gpr108' 'Dhx57' 'Haao' 'Zfp36l2' 'Arid1b'
 'BC004004' 'Ino80c' 'Gnpda1' 'Ctnna1' 'Ik' 'Arl3' 'Kmt5b' 'Sf1' 'Rfk'
 'Pten' 'Stambpl1' 'Btrc' 'Fam160b1' 'Rsu1' 'Stom' 'Dpp4' 'B230118H07Rik'
 'Fahd2a' 'Fam110a' 'Zbp1' 'Ctsz' 'Commd3' 'Apbb1ip' 'Commd9' 'Emc7'
 'Ptpra' 'H13' 'Top1' 'Pkig' 'Stx16' 'Ufm1' 'Ssr3' 'Atp1a1' 'Trmt13' 'Agl'
 'Tbl1xr1' 'Eif2a' 'Krtcap2' 'Jtb' 'S100a6' 'Lamtor5' 'Taf13' 'Dbt'
 'Nsmaf' 'Osgin2' '3110043O21Rik' 'B4galt1' 'Rnf38' 'Osbpl9' 'Rnf220'
 'Atp6v0b' 'Map7d1' 'Ccdc28b' 'Themis2' 'Rps6ka1' 'Sh3bgrl3' 'Kdm1a'
 'Zcchc7' 'Aldh1b1' 'Mob3c' 'Mknk1' 'Trit1' 'Fgr' 'Preb' 'D5Ertd579e'
 'Arap2' 'Rell1' 'Gbp8' 'Kctd10' 'Aldh2' 'Sh2b3' 'Gusb' 'Znhit1' 'Ints1'
 'Tnrc18' 'N4bp2l1' 'Abcb4' 'Tmem214' 'Sh3bp2' 'Jakmip1' 'Stap1' 'Uso1'
 'Mn1' 'Arpc3' 'Lrch4' 'Copg2' 'Wdr91' 'Hoxa7' 'Nod1' 'Arhgdib' 'Ldhb'
 'Capza2' 'Thumpd3' 'Brk1' 'Gabarapl1' 'Fgfr1op2' 'Ceacam1' 'Bckdha'
 'Supt5' 'Lsm14a' 'Ftl1' 'Emp3' 'Fes' 'Iqgap1' 'Dennd5a' 'Psma1' 'B9d2'
 'Tyrobp' 'Tubgcp5' 'Rab6a' 'Trim34a' 'Il4ra' 'Tnni2' 'Ctxn1' 'Cnot7'
 'Msmo1' 'Crtc1' 'Dync1li2' 'Hp' 'Cyba' 'Mvd' 'Mvb12a' 'Colgalt1' 'Man2b1'
 'Herpud1' 'Adgrg3' 'Def8' 'Nrp1' 'Atp5l' 'Map2k1' 'Tmed3' 'Srprb' 'Casp1'
 'Mtmr2' 'Pigyl' 'Usp2' 'Hexa' 'Anxa2' 'Gtf2a2' 'Cyb5r4' 'Acaa1a'
 'Ndufb11' 'Maged1' 'Armcx2' 'Tceal8' 'Slc35a2' 'Abcd1' 'Atp6ap1' 'Armcx3']",14.867104012995982,16.376436781609193,6.262552547750629
8,8,47,"['Tor3a' 'Disp1' 'Cd46' 'Plekhb2' 'Stx11' 'Gm34006' 'Esr1' 'Slc16a13'
 'D930048N14Rik' 'B230217C12Rik' 'Rsad2' 'AC163032.1' 'Naip5' 'Mtx3'
 'Gfm2' 'Rap2a' 'Ddx23' 'Itsn1' 'Nudt12' 'Ggnbp1' 'Notch4' '1700084E18Rik'
 'Dusp19' 'Fam219a' 'Gm17354' 'Rbm12b1' 'Ccdc17' 'Gm26692' '2700038G22Rik'
 'Mkln1os' 'Prss2' 'Rnf141' 'Exoc3l2' 'Cox7a1' 'Ccdc114' 'Stard5'
 'Tmem221' 'Hmox1' 'C2cd2l' 'Cib2' 'Gm5122' 'Gm48855' 'Pfkfb4' 'Arhgap4'
 'Cxcr3' 'Gm14698' 'Tmem35a']",0.46617910614893615,,
9,9,29,"['2310009B15Rik' 'Zcchc2' 'Lats1' 'Il4' 'Smarce1' 'Cdc42ep4' 'Hexim2'
 'Adi1' 'Zfyve16' 'Rpl37' 'Ypel1' 'Kctd1' 'Dnd1' 'Slc26a2' 'Topors'
 'Abca1' 'Ythdf2' 'Srgap3' 'Snd1' 'Tmem150a' 'Smim10l1' 'Det1' 'Trim12a'
 'BC024978' 'Irf3' 'Pigb' 'Wdr6' 'Phf6' 'Dlg3']",9.986464639724137,20.283333333333335,4.529771203989649
10,10,56,"['Trove2' 'Gm37469' 'Il1r2' '1700066M21Rik' 'Pikfyve' 'Klhl11' 'Tha1'
 'Cpeb4' 'Myo19' 'Arhgap23' 'Synj2bp' 'Fam151b' 'Gapt' 'Fam120aos'
 'Slc22a17' 'Phf11c' 'Dleu7' 'Bmp1' 'Soat2' 'Dnajc28' '2610020C07Rik'
 'Hic2' '1300002E11Rik' '4930539E08Rik' 'Tmem8' 'Slc12a2' 'Mettl8'
 'Zfp442' 'Zfp64' 'Stard9' 'AV099323' 'Srxn1' 'Gm43570' 'Phtf1os' 'Sh2d2a'
 'Sema6c' 'Gm42722' 'Dpy19l4' 'Dock7' 'Usp45' 'Map3k6' 'Zfp11' 'Gm9958'
 'Aplf' 'Mical3' 'Gm15856' 'Ogg1' 'Bcl2l14' 'Tmem86b' 'Zswim9' 'Gm45669'
 'Tacc2' 'Psmd13' 'Zfp809' 'Mtm1' 'Zxdb']",0.7399806293928571,,
