cluster_hclust,cluster_hclust,module_size,member,mean_expr,peakpos_mean,peakpos_std
1,1,288,"['Gtf3c3' 'Nhej1' 'Coq10b' 'Cyp20a1' 'Stk11ip' 'Fbxo36' 'Gigyf2' 'Dusp28'
 '3110009E18Rik' 'Yod1' 'Cyb5r1' 'Gm2000' 'Ccdc181' 'Aldh9a1' 'Dedd'
 'Amd1' 'Ddt' 'Rrp1' 'Prss57' 'Rab5b' 'Gm10273' 'Palm' 'Izumo4' 'Dot1l'
 'Ccdc59' 'Chac2' 'Itk' 'Rmnd5b' 'Zswim7' 'Ndel1' 'Mpdu1' '6330403K07Rik'
 'Srr' 'Gosr1' 'Pctp' 'Snx11' 'Fbxl20' 'Strada' 'Wipi1' 'Nat9' 'Nt5c'
 'Jmjd6' 'Cant1' 'Csnk1d' 'Ogfod3' 'Thoc5' 'Ogdh' 'Psme4' 'Mpg' 'Aff4'
 'Hist3h2ba' 'Tnfrsf13b' 'Stx8' 'Mis12' 'Socs7' 'Hmga1b' 'Gps1' 'Cbll1'
 '9130015A21Rik' 'Entpd5' 'Acyp1' 'Sptlc2' 'Dicer1' 'Akt1' 'Wdr60' 'Ddx41'
 'Cox7c' 'Iqgap2' 'Zfp131' 'Vps41' 'Hist1h3g' 'Ripk1' 'Syk' 'Idnk'
 'Col4a3bp' 'Ercc8' 'Dhx29' 'Mapk8' 'Ap1g2' 'Mcpt8' 'Micu2' 'Fdft1'
 'R3hcc1' 'Diaph3' 'Dis3' 'Ngly1' 'Fut11' 'Rft1' 'Arhgef40' 'Pibf1'
 'Slc25a17' 'Ttll1' 'Brd1' 'Rabl2' 'Fmnl3' 'Amacr' 'Fam173b' 'Ebag9'
 'Mtbp' 'Tbc1d22a' 'Zbed4' 'Pam16' 'Pi4ka' 'Tbccd1' 'Nit2' 'Atp5o-1'
 'Setd4' 'Bfar' 'Dgcr6' 'Txnrd2' 'Ufd1' 'Kpna1' 'Elob' 'Hnrnpm' 'Csnk2b'
 'Rpp21' 'Znrd1' 'Rrp36' 'Gpr108' 'Prepl' 'Rab44' 'Tbc1d22b' 'Ndufa7'
 'Mdc1' 'Ccdc94' 'Washc1' 'Ino80c' 'Sra1' 'Pggt1b' 'Ptpn2' 'Svil' 'Rnf125'
 'Dym' 'Ier3ip1' 'Gstp1' 'Rom1' 'Sorbs1' 'Fam204a' 'Nudt8-1' 'Fibp' 'Tut1'
 'Ddb1' 'Gm6563' 'Borcs7' 'Fbxw2' 'Ggta1' 'Strbp' 'Cir1' 'Srp14' 'Crnkl1'
 'Ncoa6' 'Scand1' 'Ythdf1' 'Arfgap2' 'Pex16' 'Mavs' 'Ift52' 'Gm14305'
 'Prpf6' 'Gm43672' 'Il2' 'Ssr3' 'Lamtor2' 'Rtca' 'Gm43352' 'Plrg1' 'Clk2'
 '4933434E20Rik' 'Jtb' 'St7l' 'Impad1' 'Osgin2' 'Smim8' 'Susd1' 'Itgb3bp'
 'Mmachc' 'Fam213b' 'Snapc3' 'Efcab7' 'Usp24' 'Ssbp3' 'Lsm10' 'Gm13166'
 'Exosc10' 'Fndc10' 'Aurkaip1' 'Cyp51' 'Supt7l' 'Bloc1s4' 'Tec' 'Sgcb'
 'Evi5' 'Srrd' 'Acads' 'Cox6a1' 'Bud23' 'Mtif3' 'Tmem60' 'Pmpcb' 'Stx18'
 'Ociad1' 'Rbm19' 'Ddx54' 'Nudt1' 'Ggct' 'Rnf181' 'Tet3' 'Gt(ROSA)26Sor'
 'Tada3' 'Hdhd5' 'Casd1' 'Fam221a' 'Prdm5' '0610030E20Rik' '1810044D09Rik'
 'Clec4d' 'Parp11' 'Clec2i' 'Nucb1' 'Blm' '3110040N11Rik' 'Tmem126b'
 'Relt' 'Rnf121' 'Gde1' 'Qprt' 'Zfp689' 'Bnip3' 'Tubgcp2' 'Cttn' 'Sertad3'
 'Sertad1' 'Sirt2' 'Cep89' 'Prmt3' 'Abhd2' 'Crebzf' 'Numa1' 'Abraxas2'
 'Erich1' 'Cnot7' 'Clcn3' 'Rex1bd' 'Uba52' 'Slc7a6os' 'Gm10073' 'Mlkl'
 'Upf3a' 'Thsd1' 'Tusc3' 'Tmem161a' 'Colgalt1' 'Ndufb7' 'Wdr83os' 'Chd9'
 'Fto' 'Pskh1' 'Necab2' 'Tmed1' 'Acp5' 'Rp9' 'Spa17' 'Dlat' 'Neil1' 'Clk3'
 'Cep63' 'Atg4d' 'Pigyl' 'Fdxacb1' 'Psma4' 'Rcn2' 'Rbp1' 'Rhoa' 'Glb1'
 'Dync1li1' 'Ss18l2' 'mt-Co1' 'Ccdc22' 'Cetn2' 'Xlr4a' 'Fam3a' 'Cmc4'
 'Hdac8' 'Chm' 'Timm8a1' 'Rbm10' 'Dock11' 'Hsd17b10']",5.423256402736111,14.565359477124183,6.947707910515406
2,2,222,"['Rpl7' 'Dnpep' 'Actr3' 'Dars' 'Tmem183a' 'Rabgap1l' 'Nuf2' 'Cenpf'
 'Atp6v1h' 'Mrps9' 'Rnpepl1' 'Ppp1r7' 'Adipor1' 'Ivns1abp' 'Cox20'
 'Phactr2' 'Uqcr11' 'Timm13' 'Xpot' 'Rps26' 'Echdc1' 'Hdac2' 'Ptbp1'
 'Atp5d' 'Ndufs7' 'Ndufa12' 'Llph' 'Ddx56' 'Ttc1' 'Pafah1b1' 'Tmem97'
 'Aatf' 'Luc7l3' 'Cwc25' 'Tmem101' 'Rab1a' 'Slu7' 'Ppp2ca' 'Ube2g1'
 'Psmd11' 'Lrrc59' 'Nkiras2' 'Vps25' 'Ddx42' 'Psmd12' 'Kctd2' 'Anapc11'
 'Snw1' 'Iah1' 'Eif2s1' 'Rbm25' 'Tmem251' 'Mrs2' 'Pdcd6' 'Hspb3' 'Gdi2'
 'Tdp2' 'Psmg4' 'Clptm1l' 'Fam172a' 'Cetn3' 'Dnajc9' 'Bnip3l' 'Tnfsf11'
 'Vdac2' 'Bap1' 'Tox4' 'Irf9' 'Ccdc25' 'Cox6c' 'Atad2' 'Plec' 'Naga'
 'Mcat' 'Cers5' 'Slc11a2' 'Gpaa1' 'Gtpbp1' 'Aco2' 'Atxn10' 'Creld2'
 'Glyr1' 'Cep97' 'Nde1' 'Psmd2' 'Ift57' 'Usp16' 'Son' 'Chaf1b' 'Pdcd2'
 'Rps10' 'Vmac' 'Cebpz' 'Pgp' 'Ergic1' 'Rxrb' 'Atf6b' 'Ranbp3' 'Gemin6'
 'Taf7' 'Yipf5' 'Rab18' 'Commd10' 'Phax' 'Cyb5a' 'Banf1' 'Esrra' 'Yif1a'
 'Rasgrp2' 'Fam111a' 'Hspa14' 'Dnlz' 'Brd3' 'Tor1a' 'Ndufa8' 'Ckap2l'
 'Snx5' 'Pdrg1' 'Dsn1' 'Zmynd19' 'Fbxw5' 'Urm1' 'Endog' 'Ppig' 'Hat1'
 'Nup160' 'Fbxo3' 'Nxt1' 'Gins1' 'Asxl1' 'Ctsa' 'Ncoa3' 'Pfdn4' 'Pdcd10'
 'Prpf38b' 'Tpm3' 'Bcas2' 'Gstm5' 'Dnajb14' 'Zzz3' 'Rps20' 'Tex10' 'Alad'
 'Psip1' 'Cmpk1' '1110065P20Rik' 'Tmem39b' 'Zcchc17' 'Nipsnap3b' 'Pars2'
 'Yipf1' 'Srsf10' 'Hnrnpr' 'Sdhb' 'Dbf4' 'Noa1' 'Hnrnpd' 'Rsrc2' 'Rcc1l'
 'Ccz1' 'Snx17' 'Srd5a3' 'Iscu' 'Mdh2' 'Ift22' 'Gigyf1' 'Ppp1r35' 'Cops6'
 'Akr1b3' 'Atp6v1e1' 'Magohb' 'Washc2' 'Fgfr1op2' 'Hspbp1' 'Ccdc61'
 'Nfkbib' 'Fam98c' 'Cebpg' 'Faap24' 'Cib1' 'Eed' 'Pold3' 'Xpo6' 'Cars'
 'Slc1a5' 'Tgfb1' 'Rps16' 'Klk8' 'Ldha' 'Prc1' 'Rsf1' 'Timm10b' 'Ptpre'
 'Brd7' 'Pet100' 'Irf2' 'Fbxo8' 'Nr2c2ap' 'Fam32a' 'Asf1b' 'Polr2c'
 'Sap18b' 'Cbfb' 'Ap1g1' 'Cdc37' 'Cul5' 'Tex9' 'Higd1a' 'Pin1' 'Timm8b'
 'Ube2q2' 'Rpl4' 'Mthfs' 'Ccr9' 'Was' 'Ftsj1' 'Idh3g' 'Flna' 'Slc35a2'
 'Mcts1' 'Igbp1' 'Rpl36a']",13.03291881881081,15.16923868312757,6.664359220497733
3,3,167,"['Cops5' 'Farsb' 'Tsn' 'Eef1b2' 'Mff' 'Cops8' 'Acbd6' 'Trmt11' 'Rwdd1'
 'Pwp2' 'Mob3a' 'Zfp938' 'Cct2' 'Myl6b' 'Cd24a' 'Pofut2' 'Limk2' 'Med31'
 'Emc6' 'Gpatch8' 'Ppia' 'Clk4' 'Sar1b' 'Trp53' 'Ankrd40' 'Scrn2' 'Mrpl10'
 'Psmb3' 'Rpl19' 'Psmd3' 'Mrpl58' 'Trappc6b' 'Vcpkmt' 'Wdr89' 'Nol10'
 'Zc3h14' 'Ndufaf2' 'Arid4b' 'Hist1h1c' 'Sirt5' 'Grk6' 'Ecd' 'Gnpnat1'
 'Supt16' 'Acin1' 'Eef1akmt1' 'Fndc3a' 'Ktn1' 'Mphosph8' 'Rida' 'Eif3e'
 'Csnk1e' 'Desi1' 'Ttc33' 'Ank' 'Slc52a2' 'Xrcc6' 'Copz1' 'Yars2' 'Eif2b5'
 'Ube2i' 'Fam173a' 'Gtf2f1' 'Srsf7' 'Srrm2' 'Wdr46' 'Dxo' 'Gnl1' 'Wdr55'
 'Hdhd2' 'Sf3b2' 'Polr2g' 'Frat2' 'Exosc1' 'Nt5c2' 'Prdx3' 'Brms1'
 'Rnaseh2c' 'Hnrnpul2' 'Ubxn1' 'Sfr1' 'Spout1' 'Psmd5' 'Ahcy' 'Exosc2'
 'Immp1l' 'Katnbl1' 'Adrm1' 'Psmd4' 'Mfsd14a' 'Gar1' 'Selenot' 'Lamtor5'
 '2410004B18Rik' 'Uqcrh' 'Trnau1ap' 'Sesn2' 'Mtfr1l' 'Chmp5' 'Ccdc107'
 'Mecr' 'Usp48' 'Noc2l' 'Abcf2' 'Nop14' 'Bod1l' 'Sez6l' 'Fam216a' 'Eif2b1'
 'Med28' 'Ncapg' 'Mtf2' 'Rnf34' 'Baz1b' 'Fam220a' 'Rpa3' 'Ndufa5' 'Zc3hc1'
 'Chchd4' 'Cd27' 'Gp9' 'Ccdc174' 'Chd4' 'Borcs5' 'Ccne1' 'Pop4' 'Abhd17c'
 'Eif4g2' 'Rras2' 'Rps13' 'Nsmce4a' 'Napa' 'Fam103a1' '1110004F10Rik'
 'Pstk' 'Cd81' 'Arglu1' 'Ankrd10' 'Gatad2a' 'Cherp' 'Gfod2' 'Psmd7'
 'Cfdp1' '2810004N23Rik' 'Tsnax' 'Polr2m' 'Tmod3' 'U2surp' 'Mrps22'
 'Bfsp2' 'Cyb561d2' 'Fam212a' 'Lztfl1' 'Dcun1d5' 'Idh3a' 'Anp32a' 'Ints14'
 'Mns1' '5830418P13Rik' 'Pcbp4' 'Ip6k1' 'Wdr48' 'Aifm1' 'Pgrmc1' 'Emd'
 'Pbdc1' 'Ddx3y']",11.283059663718563,16.061237373737374,7.441194822813117
4,4,108,"['Rnf149' 'Ppfia4' 'Nenf' 'Ptpn18' 'Ramp1' 'Mpc2' 'Creg1' 'Tmco1' 'Igsf8'
 'Rab32' 'Abracl' 'Anapc16' 'Rap1b' 'Csrp2' 'Sec61g' 'Atox1' 'Slc25a11'
 'Ccr7' 'Smarcd2' 'Arhgdia' 'Naa38' 'Tmem256' 'Ywhae' 'Blmh' 'Gngt2'
 'Arf2' 'Ptrhd1' 'Mia2' 'D130020L05Rik' 'Pacs2' 'Btf3' 'Ptcd2' 'Bphl'
 'Commd6' 'Il3ra' 'Rnase6' 'Gmpr2' 'Wdfy2' 'Cln5' 'Txn2' 'Oxct1' 'Nrros'
 'Ntan1' 'Top3b' 'Rnf168' 'Stfa1' 'Morc3' 'Dusp1' 'Rpl7l1' 'Kctd20'
 'H2-DMa' 'Vav1' 'Reep5' 'Hsd17b4' 'Rps14' 'Taf6l' 'Fads2' 'Ostf1'
 'Csf2ra' 'Coro1b' 'Serinc3' 'Tomm34' 'Arhgap15' 'Zfyve19' 'Pofut1'
 'Ccna2' 'Serp1' 'I830077J02Rik' 'Sh3glb1' 'Cd72' 'Akr1a1' 'Rps6ka1'
 'Clta' 'Oma1' 'Nr0b2' 'Tmco4' 'Ctnnbip1' 'Gltp' 'Lrwd1' 'Khk' 'Tmem33'
 'Hvcn1' 'Crcp' 'Arpc1b' 'Sem1' 'Rab7' 'Eefsec' 'Ndufa9' 'St3gal5'
 'Arl6ip5' 'Cox6a2' 'Pnkp' 'Akip1' 'Stx4a' 'Taldo1' 'Mrpl23' 'Snx20'
 'Atp6v0d1' 'Cyba' 'Stxbp2' 'Lamp1' 'St3gal4' 'Mpi' 'Fam46a' 'Tmed3'
 'Snapc5' 'C1galt1c1' 'Ap1s2']",12.453336036740742,15.818376068376068,7.2536096351990675
5,5,78,"['Fhl2' 'Serpine2' 'Ier5' 'Ctdsp1' 'Fam129a' 'Ccdc28a' 'Agpat3' 'Nedd1'
 'Glipr1' 'Tcp11l2' '1700113H08Rik' 'Phlda1' 'Rtn4' 'Med11' 'Unc119'
 'Slfn2' 'Casc3' 'Gpr65' 'Pfkp' 'Aggf1' 'Arhgef28' 'Tspan14' 'Psme1'
 'Pmm1' 'Prkag1' 'Nr4a1' 'D16Ertd472e' 'Tfrc' 'Hcls1' 'Brd4' 'Ppp1r11'
 'Plin3' 'Agpat4' 'Pim1' 'Smim3' 'Nmi' 'Rbms1' 'Ubr3' 'Serf2' 'Ctdspl2'
 'Cebpb' 'Zbtb7b' 'Capza1' 'Ssr2' 'Hist2h3b' 'Gbp2' 'Bcl10' 'Scp2'
 'Glipr2' 'Txndc12' 'Tmem234' '2510039O18Rik' 'Mospd3' 'Ndufa4' 'Tgoln1'
 'Cd4' 'Hilpda' 'Rab19' 'Tmem176a' 'Mlf2' 'Capns1' 'Hcst' 'Lsr' 'Bax'
 'Ppp1r15a' 'Zfp628' 'Igf1r' 'Usp47' 'Cdipt' 'Ccdc102a' 'Rrad' 'Gm6213'
 'Il12rb1' 'Fdx1' 'Rab11a' 'Tusc2' 'Ndufa1' 'Mbnl3']",7.8582941382692315,16.430232558139537,8.63855579601853
6,6,112,"['Rev1' 'Cops9' 'Fbxo28' 'Rxrg' 'Cd84' 'E030030I06Rik' 'Ube2d1' 'Mettl25'
 'Mars' 'Adat2' 'Adora2a' 'Midn' 'Nap1l1' 'Baz2a' 'Rufy1' 'Rad50' 'Mrm1'
 'Scpep1' 'Kpnb1' 'Ormdl3' 'Jup' 'Lsm12' 'Clint1' 'Vamp2' 'Ptrh2' 'Ten1'
 'Narf' 'Rab10' 'Vti1b' 'Ifi27' 'Mterf3' 'Pik3r1' 'Prr7' 'Ripk3' 'Wapl'
 'Oxa1l' 'Rec8' 'Angpt1' 'Pcbp2' 'Tarbp2' 'Mzt2' 'Trat1' 'Nrip1' 'Cryzl1'
 'Snn' 'Polr2h' 'C330027C09Rik' 'Akap8l' 'Ndc80' 'Rgl2' 'Supt3' 'Klc2'
 'Ehbp1l1' 'Tle4' 'Pitpnm1' 'Cep55' 'Mxi1' 'Pdcd4' 'Tmx4' 'Zfp335'
 'Zmynd8' 'Upf2' 'Gle1' 'March7' 'Vps16' 'Ttpal' 'Rfxap' 'Setdb1' 'Gstm4'
 'Rwdd3' 'Eif2a' 'Rap2b' 'Hdac1' 'Zfp593' 'Map3k7' 'Tesk1' 'Syf2' 'Rbm48'
 'Fastk' 'Gfi1' 'Kctd10' 'Triap1' 'Kmt5a' 'Por' 'Ino80b' 'Emc3' 'Alox5'
 'Ldhb' 'C2cd5' 'Aup1' 'Slco3a1' 'Cnot3' 'U2af2' 'Bbc3' 'Ech1' 'Stim1'
 'Rasa3' 'Smim7' 'Nacc1' 'Fam192a' 'Kars' 'Fbxo25' 'Prmt7' 'Tbrg1'
 'Pafah1b2' 'Snx1' 'Rab8b' 'Stag1' 'Ebp' 'Armcx2' 'Pdha1' 'Hnrnph2']",5.170364146544642,16.686567164179106,7.35862960201007
7,7,41,"['Rassf5' 'Traf3ip3' 'Esyt1' 'Cited2' 'Sppl2b' 'Sqstm1' 'Acap1' 'Grap'
 'Gabarap' 'Tnrc6c' 'Ero1l' 'Abhd10' 'Rftn1' 'Prrc1' 'Malat1' 'Nudt22'
 'Ptprcap' 'Lpxn' 'Traf2' 'Wipf1' 'Sp3os' 'Col9a3' 'Rps27' 'Snapin'
 'Mgst2' 'Glmp' 'Gon4l' 'S100a13' 'S100a10' 'Rorc' 'Casp6' 'Xpa' 'Hsdl2'
 'Aldh2' 'Pld3' 'Cd37' 'Siah1a' 'Jund' 'Tmem30a' 'Pja1' 'Xlr4b']",11.421691918317073,17.076190476190476,7.471552023231475
8,8,46,"['Gm4208' 'Ly9' 'B3gnt7' 'Tcf7' 'Acadvl' 'Grn' 'Dcaf7' 'Id2' 'Adssl1'
 'Rad17' 'Lgals3' 'Dhrs2' 'Cela1' 'Tnrc6b' 'Bbx' 'Hes1' 'Cd200r1' 'Ifngr2'
 'Lonp1' 'Pacsin1' 'Cd1d1' 'Nfkb1' 'Sh2d2a' 'Dmap1' 'Ugcg' 'Runx3' 'Fuca1'
 'Abcb9' 'Nom1' 'Kit' 'Alkbh4' 'Trbc1' 'Etfrf1' 'Vasp' 'Zfand6' 'Uros'
 'Gmfg' 'Pkp3' 'Hsdl1' 'Pbx4' 'Adgrg1' 'Mindy2' 'Ets1' 'Bcor' 'Renbp'
 'Gemin8']",6.472425124043478,21.568627450980394,7.982105159218733
9,9,36,"['Cnppd1' 'Dhx9' 'Cdc40' 'Abi3' 'Mcrip1' 'Sf3a1' 'Vdac1' 'Med9' 'Rnf167'
 'Ubald2' 'Smim4' 'Tsc22d1' 'Dcaf13' 'Rfk' 'Ccndbp1' 'Actl6a' 'Naa15'
 'Anp32e' 'Gtf2b' 'Pink1' 'Dnajc11' 'Tmem214' 'Bet1' 'Zfp467' 'Gars'
 'Fiz1' 'Shkbp1' 'Mfge8' 'Eef1akmt2' 'Gins4' 'Ubxn8' 'Cenpt' 'Ncapd3'
 'Topbp1' 'Fundc2' 'Apool']",7.850476065944444,16.83585858585859,6.040965650727208
10,10,56,"['Tmem237' 'Tada1' 'Pex7' 'Smarcb1' 'Tspan31' 'Gpx4' 'Myo1g' 'Grb2'
 'Ikzf1' 'Ap2b1' 'Mfsd11' 'Dld' 'Hpcal1' 'Klhdc2' 'Nol8' 'Ssbp2' 'Vps28'
 'Nfe2' 'Cox14' 'Adprh' 'Rnf5' 'Zfp414' 'Mta3' 'Paip2' 'Cxxc5' 'Avpi1'
 'Usmg5' 'Atp5e' 'Dynlrb1' 'Vapb' 'Slc50a1' 'Polr3gl' 'S100a11' 'Ccdc28b'
 'Marcksl1' 'Mfap2' 'Nelfa' 'Kmt2e' 'Cpsf4' 'Cmas' 'Selenow' 'Cyth2'
 'Idh2' '2310057M21Rik' 'Coa4' 'Zfp771' 'Mvd' 'Zfp358' 'Ints10' 'Ankrd49'
 'Cxcr5' 'Ddx10' 'Tpm1' 'Eif1b' 'mt-Nd2' 'Ctps2']",13.564836995589285,17.77891156462585,6.897680413510303
